"","site","bin","value","total","rel.bin"
"1","Banff","1",18226.4857142857,71446,0.255108553512943
"2","Big_bend","1",17039,32850.3636363636,0.518685278148298
"3","Grand_bassin","1",33337.2,54259.6,0.614401875428496
"4","Jasper","1",31097.2173913043,87328.1739130434,0.356096045501526
"5","Joshua_tree","1",23088.25,58346.6666666667,0.395708123857404
"6","Mont_rainier","1",28720,65752.875,0.436786984599533
"7","North_cascades","1",39690,80114,0.495419027885264
"8","Saguaro","1",38255.5813953488,85104,0.449515667834048
"9","Waterton_lakes","1",10814.45,36512.25,0.29618689617868
"10","Yellowstone","1",18595.6,74405.36,0.249922855020122
"11","Zion","1",20464.6428571428,73844.9285714285,0.277129970236857
"12","Banff","2",13875,71446,0.194202614562047
"13","Big_bend","2",7624.27272727273,32850.3636363636,0.23209096896672
"14","Grand_bassin","2",8018.6,54259.6,0.147782143620668
"15","Jasper","2",16976.9130434783,87328.1739130434,0.194403618932682
"16","Joshua_tree","2",12611.5,58346.6666666667,0.216147737659963
"17","Mont_rainier","2",19565.6875,65752.875,0.297563984844769
"18","North_cascades","2",4174.33333333333,80114,0.0521049171597141
"19","Saguaro","2",17817.8837209302,85104,0.209365995968817
"20","Waterton_lakes","2",6461.5,36512.25,0.176968003889106
"21","Yellowstone","2",13466.44,74405.36,0.18098749875009
"22","Zion","2",17619.4285714286,73844.9285714285,0.238600387491548
"23","Banff","3",2221.91428571429,71446,0.0310992117923227
"24","Big_bend","3",834.545454545455,32850.3636363636,0.0254044510369333
"25","Grand_bassin","3",257.8,54259.6,0.00475123296154045
"26","Jasper","3",958.217391304347,87328.1739130434,0.0109726030943746
"27","Joshua_tree","3",1536.91666666667,58346.6666666667,0.0263411220292505
"28","Mont_rainier","3",596.125,65752.875,0.00906614349562662
"29","North_cascades","3",619,80114,0.00772648975210325
"30","Saguaro","3",2917.02325581396,85104,0.0342759829833375
"31","Waterton_lakes","3",566.85,36512.25,0.0155249265657416
"32","Yellowstone","3",4030.36,74405.36,0.0541676029791402
"33","Zion","3",2314.07142857143,73844.9285714285,0.0313369038786879
"34","Banff","4",1307.74285714286,71446,0.018303933840143
"35","Big_bend","4",246.545454545455,32850.3636363636,0.00750510579653193
"36","Grand_bassin","4",97.6,54259.6,0.00179876003509056
"37","Jasper","4",739.782608695652,87328.1739130434,0.00847129369076567
"38","Joshua_tree","4",762.25,58346.6666666667,0.0130641567641682
"39","Mont_rainier","4",147.625,65752.875,0.00224514897637556
"40","North_cascades","4",566.333333333333,80114,0.00706909320884406
"41","Saguaro","4",1203.76744186047,85104,0.0141446634924383
"42","Waterton_lakes","4",563.8,36512.25,0.0154413929571582
"43","Yellowstone","4",1801.72,74405.36,0.0242149221507698
"44","Zion","4",1749.57142857143,73844.9285714285,0.0236925062075063
"45","Banff","5",2539.97142857143,71446,0.0355509255741599
"46","Big_bend","5",455.181818181818,32850.3636363636,0.0138562185557653
"47","Grand_bassin","5",329.6,54259.6,0.00607450110210912
"48","Jasper","5",1806.30434782609,87328.1739130434,0.0206840961729568
"49","Joshua_tree","5",2015,58346.6666666667,0.0345349634369287
"50","Mont_rainier","5",483.5,65752.875,0.00735329063558057
"51","North_cascades","5",1388.66666666667,80114,0.0173336329064416
"52","Saguaro","5",1828.25581395349,85104,0.0214826073269587
"53","Waterton_lakes","5",1691.2,36512.25,0.046318701257797
"54","Yellowstone","5",5867.68,74405.36,0.0788609852838559
"55","Zion","5",3185.07142857143,73844.9285714285,0.0431318912508742
"56","Banff","6",13540.7428571429,71446,0.18952415610591
"57","Big_bend","6",1009,32850.3636363636,0.0307150329040221
"58","Grand_bassin","6",1143.4,54259.6,0.0210727686897802
"59","Jasper","6",15197.8260869565,87328.1739130434,0.174031190690987
"60","Joshua_tree","6",10758.4166666667,58346.6666666667,0.184387854204753
"61","Mont_rainier","6",5171.5,65752.875,0.0786505533028024
"62","North_cascades","6",8759.33333333332,80114,0.109335863061804
"63","Saguaro","6",9169.6046511628,85104,0.107745871535566
"64","Waterton_lakes","6",7135.85,36512.25,0.195437147806558
"65","Yellowstone","6",16042.2,74405.36,0.215605434877272
"66","Zion","6",9900.35714285714,73844.9285714285,0.134069560826791
"67","Banff","7",13989.1142857143,71446,0.195799824842738
"68","Big_bend","7",2478.36363636364,32850.3636363636,0.0754440244192675
"69","Grand_bassin","7",4262.4,54259.6,0.0785556841554306
"70","Jasper","7",13667.5217391304,87328.1739130434,0.156507586574979
"71","Joshua_tree","7",4631.91666666667,58346.6666666667,0.0793861403107861
"72","Mont_rainier","7",3232.8125,65752.875,0.0491661011020431
"73","North_cascades","7",19892.6666666667,80114,0.248304499421657
"74","Saguaro","7",7982.34883720931,85104,0.0937952251035122
"75","Waterton_lakes","7",6638.7,36512.25,0.181821169607461
"76","Yellowstone","7",7778.84,74405.36,0.10454676921125
"77","Zion","7",13315.6428571429,73844.9285714285,0.1803189889237
"78","Banff","8",1370.94285714286,71446,0.0191885180016076
"79","Big_bend","8",832.909090909091,32850.3636363636,0.0253546383878413
"80","Grand_bassin","8",1487.6,54259.6,0.0274163466004173
"81","Jasper","8",1834.52173913043,87328.1739130434,0.0210072151623959
"82","Joshua_tree","8",760.75,58346.6666666667,0.0130384483546618
"83","Mont_rainier","8",1511.375,65752.875,0.0229856869376434
"84","North_cascades","8",1432.33333333333,80114,0.0178786895340806
"85","Saguaro","8",1615.90697674419,85104,0.0189874386250257
"86","Waterton_lakes","8",764.75,36512.25,0.0209450252997282
"87","Yellowstone","8",1297.48,74405.36,0.0174379910264529
"88","Zion","8",1802.42857142857,73844.9285714285,0.0244082918935337
"89","Banff","9",900.571428571429,71446,0.0126049243984468
"90","Big_bend","9",536.272727272727,32850.3636363636,0.0163247120552146
"91","Grand_bassin","9",1100.2,54259.6,0.020276596215232
"92","Jasper","9",1110.08695652174,87328.1739130434,0.0127116703210478
"93","Joshua_tree","9",449.083333333333,58346.6666666667,0.00769681215722121
"94","Mont_rainier","9",3136.8125,65752.875,0.0477060888972535
"95","North_cascades","9",780.333333333333,80114,0.00974028675803647
"96","Saguaro","9",919.255813953488,85104,0.0108015582575847
"97","Waterton_lakes","9",338.05,36512.25,0.00925853651856569
"98","Yellowstone","9",1287.76,74405.36,0.0173073552765553
"99","Zion","9",819.285714285714,73844.9285714285,0.0110946781334244
"100","Banff","10",3473.51428571429,71446,0.0486173373696818
"101","Big_bend","10",1794.27272727273,32850.3636363636,0.0546195697294066
"102","Grand_bassin","10",4225.2,54259.6,0.0778700911912362
"103","Jasper","10",3939.78260869565,87328.1739130434,0.0451146798582857
"104","Joshua_tree","10",1732.58333333333,58346.6666666667,0.0296946412248629
"105","Mont_rainier","10",3187.4375,65752.875,0.048476017208373
"106","North_cascades","10",2811,80114,0.0350875003120553
"107","Saguaro","10",3394.37209302326,85104,0.0398849888727117
"108","Waterton_lakes","10",1537.1,36512.25,0.0420981999192052
"109","Yellowstone","10",4237.28,74405.36,0.0569485854244909
"110","Zion","10",2674.42857142857,73844.9285714285,0.0362168211570772
